1816849;Luzes;Técnica similar à do reflexo. A diferença é que as mechas que recebem a coloração são bem mais fininhas.;90;174142;23614;11;1;0.00;0;1;1;0.00;2017-10-30 13:55:32.0000000;2017-10-30 13:55:12.2530000;1268;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816897;Unha de Porcelana - Manutenção;Unha de Porcelana - Manutenção;120;174144;23614;141;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.1170000;1430;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816898;Unha de Fibra de Vidro - Colocação;"Colocação de Unha de Fibra de Vidro. ";120;174144;23614;293;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.1270000;1425;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816899;Unha de Fibra de Vidro - Manutenção;"Manutenção de unhas de Fibra de Vidro. ";120;174144;23614;294;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.1370000;1426;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816900;Unha de Cristal - Colocação;Alonga as unhas, valorizando o formato. Indicado pra quem rói as unhas, pra repor alguma unha quebrada, ou simplesmente para embelezar as mãos;120;174144;23614;137;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.1500000;1423;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816901;Unhas Postiças - Material do Salão;Colocação de unhas postiças com material do salão.;30;174144;23614;367;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.1600000;1441;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816902;Unhas Postiças - Material do Cliente;Colocação de unhas postiças com material do cliente.;30;174144;23614;368;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.1700000;1440;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816903;Penteado;Penteado;60;174145;23614;14;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.1970000;1345;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816904;Baby Liss / Cachos;Cachos nos cabelos. Técnica pode ser realizada manualmente ou com babyliss. Os cachos estão em alta e dão um ar informal ao visual.;60;174145;23614;30;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.2070000;1014;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816905;Maquiagem;Maquiagem;60;174146;23614;143;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.2300000;1294;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816906;Permanente Cílios;Para qualquer mulher que valorize um belo olhar, o permanente de cílios consegue o efeito do curvex, com o benefício de durar mais.;30;174146;23614;145;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.2400000;1352;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816907;Pintura/Coloração Cílios;Pintura/Coloração Cílios;30;174146;23614;146;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.2500000;1361;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816908;Alongamento de Cílios;O alongamento de cílios é um método que permite alongar e valorizar a maquiagem e a expressão do olhar.;60;174146;23614;147;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.2600000;1006;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816909;Micropigmentação;A micropigmentação de sobrancelhas é uma técnica que ajuda a corrigir a imperfeições de forma milimétrica, fio a fio. Usa-se um aparelho em forma de caneta, que faz pequenos furinhos na pele, e ai o desenho dos fios é reproduzido de forma natural, como se fosse uma maquiagem normal, feita a lápis. O resultado é muito satisfatório, o desenho fica muito natural, diferente da maquiagem definitiva, que parece mais uma tatuagem.;120;174146;23614;148;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.2770000;1316;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816910;Pintura Sobrancelhas;Pintura Sobrancelhas;30;174146;23614;149;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.3000000;1358;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816911;Colocação de Cílios Postiços;Colocação de Cílios;30;174146;23614;150;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.3200000;1047;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816912;Maquiagem Definitiva;Maquiagem Definitiva;120;174146;23614;151;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.3470000;1296;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816913;Maquiagem Definitiva para os Lábios;Maquiagem Definitiva para os Lábios;120;174146;23614;152;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.3630000;1297;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816914;Maquiagem Definitiva para Sobrancelhas;Maquiagem Definitiva para Sobrancelhas;120;174146;23614;153;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.3800000;1298;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816915;Pintura Sobrancelhas - Henna;Pintura Sobrancelhas - Henna;30;174147;23614;144;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.4000000;1359;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816916;Design de Sobrancelha;Design de Sobrancelha;30;174147;23614;68;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.4100000;1187;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816917;Sobrancelha na Cera;Sobrancelha na Cera;30;174147;23614;72;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.4230000;1389;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816918;Sobrancelha na Pinça;Sobrancelha na Pinça;30;174147;23614;73;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.4330000;1390;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816919;Sobrancelha com Linha;Permite um design moderno sem dor, totalmente confortável.;30;174147;23614;167;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.4430000;1388;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816920;Drenagem Linfática;Drenagem Linfática;60;174148;23614;155;1;0.00;0;1;1;0.00;2017-10-30 13:55:33.0000000;2017-10-30 13:55:13.5270000;1191;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816921;Massagem Relaxante;Massagem Relaxante;60;174148;23614;156;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.5370000;1309;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816922;Bandagem Quente ou Termoterapia;São bandas térmicas que aumentam a temperatura superficial local ativando o metabolismo.;60;174148;23614;307;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.5470000;1018;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816923;Depilação de Axilas;"Depilação com cera da região das Axilas. Com a depilação, os pelos crescem mais uniformes e finos, além de demorarem mais tempo para crescer. ";30;174149;23614;61;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.5900000;1095;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816924;Depilação de Buço;"Depilação com cera do Buço. Ideal para mulheres que estão incomodadas com pelos no rosto. ";20;174149;23614;62;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.6030000;1098;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816925;Depilação de Meia Perna;Meia Perna;30;174149;23614;63;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.6130000;1103;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816926;Depilação outras regiões com cera;Depilação com Cera;30;174149;23614;65;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.6270000;1182;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816927;Depilação outras regiões com linha;Permite um design moderno sem dor, totalmente confortável.;30;174149;23614;66;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.6370000;1183;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816928;Depilação de Virilha Completa;Depilação Virilha Completa;60;174149;23614;67;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.6470000;1125;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816929;Depilação de Perna Inteira;Perna Inteira;30;174149;23614;69;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.6570000;1111;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816930;Depilação de Virilha Simples;"Depilação com cera da virilha. ";30;174149;23614;70;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.6670000;1126;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816931;Depilação de Braços;Depilação Braço;30;174149;23614;76;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.6800000;1097;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816932;Depilação de Rosto Feminino;Depilação de Rosto Feminino.;30;174149;23614;79;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.6900000;1118;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816933;Depilação de Rosto com Linha;Técnica retira os fios pela raíz, proporcionando uma pele mais clara e macia por mais tempo.;30;174149;23614;218;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.7000000;1117;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816934;Depilação de Meia Perna + Virilha;Meia Perna + Virilha;60;174149;23614;88;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.7100000;1104;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816935;Depilação de Meia Perna + Virilha + Axila;Meia Perna + Virilha + Axila;60;174149;23614;89;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.7200000;1105;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816936;Depilação de Perna Inteira + Virilha;Perna Inteira + Virilha;60;174149;23614;90;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.7300000;1112;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816937;Depilação de Perna Inteira + Virilha + Axila;Perna Inteira + Virilha + Axila;60;174149;23614;91;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.7400000;1113;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816938;Depilação de Buço com Linha;Técnica retira os fios pela raiz, evitando flacidez e manchas escuras, característicos das outras formas de depilação.;30;174149;23614;347;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.7570000;1099;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816939;Depilação de Axilas com Linha;Depilação de Axilas com Linha.;30;174149;23614;373;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.7730000;1096;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816940;Depilação Tricotomia;Depilação Tricotomia;45;174149;23614;348;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.7830000;1185;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816941;Limpeza de Pele;É um tratamento indicado para remover impurezas da pele e promover a limpeza dos poros.;60;174150;23614;98;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.8100000;1265;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816942;"Depilação Masculina - Costas ";"Depilação Masculina - Costas ";30;174151;23614;77;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.8330000;1160;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816943;"Depilação Masculina - Peitoral ";Depilação do peitoral masculino, com cera.;30;174151;23614;84;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.8430000;1171;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816944;Depilação Masculina - Abdômen;"Depilação de Abdômen, com cera. ";30;174151;23614;216;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.8570000;1152;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816945;Depilação Masculina - Axilas;Depilação Masculina - Axilas;30;174151;23614;377;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.8670000;1153;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816946;Depilação Masculina - Braços;Depilação Masculina - Braços;30;174151;23614;378;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.8770000;1158;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816947;Depilação Masculina - Coxas;Depilação Masculina - Coxas;30;174151;23614;379;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.8900000;1162;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816948;Depilação Masculina - Meia Perna;Depilação Masculina - Meia Perna;30;174151;23614;383;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.9000000;1167;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
1816949;Depilação Masculina - Perna Inteira;Depilação Masculina - Perna Inteira;30;174151;23614;384;1;0.00;0;1;1;0.00;2017-10-30 13:55:34.0000000;2017-10-30 13:55:13.9100000;1172;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;0;NULL;NULL
